file,class,confidence,reason_short
tweet_2032155526516391998.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032146362276442307.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032146037889262033.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032142752167645444.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032127425962733585.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032120057854382206.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032109361573629965.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032108482426781830.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032098531922915329.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032091386661528062.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032087375799787620.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032083525714002396.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032081541753409583.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032079323075919915.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032063062413340832.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032057797458723024.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032057539605729745.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032050911078727861.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032033922725376513.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032028749630418998.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2032021277192434017.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031993777238536400.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031943360286769520.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031922111145464287.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031855183207285173.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031852394506547344.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031844370391925205.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031807481018732610.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031792393981157869.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031787251659612377.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031785692704227652.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031775666106970606.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031767727892029883.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031763514738540645.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031763059073511632.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031752110774125010.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031749170768298231.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031746974245154868.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
tweet_2031720293845303594.png,brand_visual,0.99,manual_batch_ingest: brand-only URL batch
